Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
1990,Kevin Appier,Royals,6.16,2.62,2.35,0.63,16.20%,6.90%,9.30%,0.247,1.25,0.284,77.90%,71,88,,2.76,3.32,-0.56,,,3
1990,Randy Johnson,Mariners,7.95,4.92,1.62,1.07,20.60%,12.70%,7.80%,0.212,1.34,0.247,74.60%,91,107,,3.65,4.29,-0.64,,,60
1990,Mike Morgan,Dodgers,4.52,2.56,1.77,0.81,11.90%,6.70%,5.20%,0.262,1.31,0.281,71.20%,101,105,,3.75,3.9,-0.14,,,67
1990,Todd Stottlemyre,Blue Jays,5.1,3.06,1.67,0.8,13.30%,8.00%,5.30%,0.271,1.39,0.299,71.50%,110,98,,4.34,3.97,0.38,,,75
1990,Greg Swindell,Indians,5.66,1.97,2.87,1.13,14.80%,5.20%,9.70%,0.284,1.36,0.311,71.70%,111,99,,4.4,3.86,0.55,,,76
1990,Tom Glavine,Braves,5.42,3.28,1.65,0.76,13.90%,8.40%,5.50%,0.273,1.45,0.304,70.00%,107,97,,4.28,3.8,0.48,,,90
1990,Greg Maddux,Cubs,5.47,2.7,2.03,0.42,14.20%,7.00%,7.20%,0.259,1.32,0.296,66.60%,86,81,,3.46,3.15,0.31,,,104
1990,John Smoltz,Braves,6.61,3.5,1.89,0.78,17.60%,9.30%,8.30%,0.235,1.28,0.272,69.90%,97,93,,3.85,3.64,0.21,,,115
1990,John Burkett,Giants,5.21,2.69,1.93,0.79,13.80%,7.10%,6.70%,0.254,1.28,0.279,72.30%,103,100,,3.79,3.75,0.04,,,179
1990,Tom Gordon,Royals,8.06,4.56,1.77,0.78,20.40%,11.50%,8.90%,0.254,1.49,0.31,72.20%,96,99,,3.73,3.71,0.02,,,282
1990,Jose Rijo,Reds,6.94,3.56,1.95,0.46,19.00%,9.70%,9.20%,0.209,1.16,0.252,76.50%,69,79,,2.7,3.14,-0.45,,,349
1990,Chuck Finley,Angels,6.75,3.09,2.19,0.65,18.40%,8.40%,10.00%,0.239,1.23,0.282,80.20%,63,84,,2.4,3.3,-0.9,,,384
1990,Kevin Brown,Rangers,4.4,3,1.47,0.65,11.60%,7.90%,3.70%,0.252,1.31,0.273,70.10%,92,98,,3.6,3.82,-0.22,,,642
1990,Terry Mulholland,Phillies,3.74,2.09,1.79,0.75,10.10%,5.60%,4.40%,0.245,1.18,0.257,70.80%,87,99,,3.34,3.79,-0.45,,,665
1990,Roger Clemens,Red Sox,8.24,2.13,3.87,0.28,22.70%,5.90%,16.90%,0.225,1.08,0.289,79.90%,47,55,,1.93,2.18,-0.25,,,815
1990,David Wells,Blue Jays,5.48,2.14,2.56,0.67,15.20%,5.90%,9.20%,0.232,1.11,0.259,72.80%,80,82,,3.14,3.3,-0.16,,,855
1990,Andy Benes,Padres,6.55,3.23,2.03,0.84,17.30%,8.50%,8.80%,0.239,1.28,0.273,72.10%,94,94,,3.6,3.66,-0.06,,,1144
1990,David Cone,Mets,9.91,2.76,3.58,0.89,27.10%,7.60%,19.50%,0.223,1.14,0.289,74.40%,88,76,,3.23,2.83,0.4,,,1680
1990,Jim Abbott,Angels,4.46,3.06,1.46,0.68,11.40%,7.80%,3.60%,0.29,1.5,0.316,68.90%,117,99,,4.51,3.89,0.62,,,1000012
1990,Allan Anderson,Twins,3.91,1.86,2.1,0.95,10.30%,4.90%,5.40%,0.284,1.34,0.298,66.10%,111,103,,4.53,4.02,0.52,,,1000216
1990,Jack Armstrong,Reds,5.96,3.2,1.86,0.49,15.60%,8.40%,7.20%,0.236,1.27,0.273,70.80%,87,84,,3.42,3.36,0.05,,,1000313
1990,Mike Bielecki,Cubs,5.52,3.75,1.47,0.7,13.80%,9.40%,4.40%,0.279,1.54,0.314,66.20%,123,101,,4.93,3.93,1,,,1000951
1990,Bud Black,- - -,4.62,2.66,1.74,0.83,12.40%,7.10%,5.30%,0.229,1.17,0.243,73.10%,90,101,,3.57,3.94,-0.36,,,1001007
1990,Mike Boddicker,Red Sox,5.64,2.72,2.07,0.63,15.00%,7.20%,7.70%,0.257,1.29,0.291,75.30%,82,88,,3.36,3.51,-0.15,,,1001111
1990,Oil Can Boyd,Expos,5.33,2.45,2.17,0.9,14.60%,6.70%,7.90%,0.228,1.13,0.247,80.60%,77,102,,2.93,3.78,-0.86,,,1001279
1990,Tom Browning,Reds,3.91,2.06,1.9,0.95,10.30%,5.40%,4.90%,0.261,1.26,0.272,75.10%,97,102,,3.8,4.06,-0.27,,,1001566
1990,Tom Candiotti,Indians,5.7,2.45,2.33,1.02,15.00%,6.40%,8.50%,0.26,1.3,0.286,74.60%,92,101,,3.65,3.93,-0.27,,,1001911
1990,Pat Combs,Phillies,5.3,4.22,1.26,0.59,13.50%,10.80%,2.80%,0.252,1.45,0.283,71.00%,106,103,,4.07,3.95,0.12,,,1002480
1990,Danny Darwin,Astros,6.03,1.72,3.52,0.61,16.90%,4.80%,12.10%,0.223,1.03,0.255,82.90%,61,83,,2.21,2.99,-0.78,,,1002996
1990,Jose DeLeon,Cardinals,8.08,4.24,1.91,0.74,20.70%,10.80%,9.80%,0.239,1.39,0.293,68.50%,116,94,,4.43,3.57,0.86,,,1003168
1990,Jim Deshaies,Astros,5.12,3.61,1.42,0.9,13.50%,9.50%,4.00%,0.236,1.29,0.254,74.40%,103,119,,3.78,4.29,-0.51,,,1003228
1990,Doug Drabek,Pirates,5.1,2.18,2.34,0.58,14.30%,6.10%,8.20%,0.221,1.06,0.245,75.00%,75,88,,2.76,3.28,-0.52,,,1003473
1990,Sid Fernandez,Mets,9.08,3.36,2.7,0.9,24.60%,9.10%,15.50%,0.196,1.1,0.241,69.60%,95,89,,3.46,3.3,0.16,,,1004001
1990,Scott Garrelts,Giants,3.96,3.46,1.14,0.79,10.20%,8.90%,1.30%,0.266,1.43,0.282,71.50%,113,114,,4.15,4.28,-0.12,,,1004546
1990,Dwight Gooden,Mets,8.63,2.71,3.19,0.39,22.70%,7.10%,15.60%,0.253,1.29,0.325,68.50%,105,66,,3.83,2.44,1.39,,,1004852
1990,Kevin Gross,Expos,6.12,3.58,1.71,0.5,15.60%,9.10%,6.50%,0.266,1.44,0.31,67.70%,121,92,,4.57,3.43,1.14,,,1005088
1990,Bill Gullickson,Astros,3.4,2.84,1.2,0.98,8.60%,7.20%,1.40%,0.282,1.46,0.29,72.30%,104,123,,3.82,4.44,-0.63,,,1005136
1990,Erik Hanson,Mariners,8.05,2.59,3.1,0.57,21.90%,7.10%,14.80%,0.229,1.16,0.284,73.60%,81,69,,3.24,2.74,0.51,,,1005333
1990,Mike Harkey,Cubs,4.87,3.06,1.59,0.73,12.90%,8.10%,4.80%,0.231,1.22,0.251,74.20%,82,101,,3.26,3.91,-0.65,,,1005363
1990,Pete Harnisch,Orioles,5.82,4.1,1.42,0.81,14.90%,10.50%,4.40%,0.257,1.46,0.289,71.40%,113,104,,4.34,4.07,0.27,,,1005374
1990,Greg Harris,Red Sox,5.71,3.76,1.52,0.63,14.60%,9.60%,5.00%,0.258,1.43,0.293,71.40%,97,96,,4,3.81,0.2,,,1005415
1990,Greg Hibbard,White Sox,3.92,2.35,1.67,0.47,10.60%,6.30%,4.30%,0.249,1.22,0.27,73.90%,80,91,,3.16,3.48,-0.32,,,1005764
1990,Teddy Higuera,Brewers,6.83,2.65,2.58,0.85,17.90%,6.90%,11.00%,0.25,1.28,0.289,70.90%,98,89,,3.76,3.45,0.31,,,1005799
1990,Brian Holman,Mariners,5.74,3.13,1.83,0.81,15.10%,8.20%,6.80%,0.257,1.34,0.288,71.10%,101,96,,4.03,3.84,0.2,,,1005969
1990,Charlie Hough,Rangers,4.69,4.9,0.96,0.99,12.00%,12.50%,-0.50%,0.232,1.41,0.243,74.00%,104,127,,4.07,4.98,-0.9,,,1006050
1990,Bruce Hurst,Padres,6.52,2.54,2.57,0.85,17.90%,7.00%,11.00%,0.224,1.12,0.255,75.00%,82,88,,3.14,3.44,-0.3,,,1006222
1990,Dave Johnson,Orioles,3.4,2.15,1.58,1.5,9.00%,5.70%,3.30%,0.275,1.33,0.27,79.50%,106,127,,4.1,4.99,-0.89,,,1006442
1990,Mark Knudson,Brewers,2.99,2.14,1.4,0.75,7.80%,5.60%,2.20%,0.277,1.35,0.285,69.40%,107,103,,4.12,3.99,0.13,,,1007065
