Season,Name,IP,K/9,BB/9,HR/9,BABIP,ERA,WAR
2019,Gerrit Cole,212.1,13.82,2.03,1.23,0.275,2.5,7.4
2019,Jacob deGrom,204.0,11.25,1.94,0.84,0.282,2.43,7.0
2019,Lance Lynn,208.1,10.63,2.55,0.91,0.322,3.67,6.8
2019,Max Scherzer,172.1,12.69,1.72,0.94,0.321,2.92,6.5
2019,Justin Verlander,223.0,12.11,1.7,1.45,0.218,2.58,6.4
2019,Charlie Morton,194.2,11.1,2.64,0.69,0.298,3.05,6.1
2019,Stephen Strasburg,209.0,10.81,2.41,1.03,0.27399999999999997,3.32,5.7
2019,Shane Bieber,214.1,10.88,1.68,1.3,0.29600000000000004,3.28,5.6
2019,Zack Greinke,208.2,8.07,1.29,0.91,0.271,2.93,5.4
2019,Lucas Giolito,176.2,11.62,2.9,1.22,0.273,3.41,5.1
2019,Walker Buehler,182.1,10.61,1.83,0.99,0.29,3.26,5.0
2019,Hyun-Jin Ryu,182.2,8.03,1.18,0.84,0.278,2.32,4.8
2019,Patrick Corbin,202.0,10.6,3.12,1.07,0.29,3.25,4.8
2019,Jack Flaherty,196.1,10.59,2.52,1.15,0.242,2.75,4.7
2019,Zack Wheeler,195.1,8.98,2.3,1.01,0.311,3.96,4.7
2019,Jose Berrios,200.1,8.76,2.29,1.17,0.299,3.68,4.4
2019,Noah Syndergaard,197.2,9.2,2.28,1.09,0.313,4.28,4.4
2019,Sonny Gray,175.1,10.52,3.49,0.87,0.255,2.87,4.4
2019,Mike Minor,208.1,8.64,2.94,1.3,0.287,3.59,4.1
2019,Kyle Hendricks,177.0,7.63,1.63,0.97,0.287,3.46,4.1
2019,Luis Castillo,190.2,10.67,3.73,1.04,0.262,3.4,4.1
2019,Mike Soroka,174.2,7.32,2.11,0.72,0.28,2.68,4.0
2019,Marcus Stroman,184.1,7.76,2.83,0.88,0.307,3.22,3.9
2019,Eduardo Rodriguez,203.1,9.43,3.32,1.06,0.317,3.81,3.7
2019,Marco Gonzales,203.0,6.52,2.48,1.02,0.295,3.99,3.7
2019,Jose Quintana,171.0,8.0,2.42,1.05,0.326,4.68,3.5
2019,Aaron Nola,202.1,10.19,3.56,1.2,0.295,3.87,3.4
2019,German Marquez,174.0,9.05,1.81,1.5,0.304,4.76,3.4
2019,Clayton Kershaw,178.1,9.54,2.07,1.41,0.262,3.03,3.4
2019,Joe Musgrove,170.1,8.3,2.06,1.11,0.299,4.44,3.3
2019,Matthew Boyd,185.1,11.56,2.43,1.89,0.307,4.56,3.3
2019,Trevor Bauer,213.0,10.69,3.46,1.44,0.287,4.48,3.3
2019,Masahiro Tanaka,182.0,7.37,1.98,1.38,0.293,4.45,3.3
2019,Madison Bumgarner,207.2,8.8,1.86,1.3,0.289,3.9,3.2
2019,Max Fried,165.2,9.4,2.55,1.14,0.336,4.02,3.0
2019,Homer Bailey,163.1,8.21,2.92,1.16,0.301,4.57,2.9
2019,Jon Lester,171.2,8.65,2.73,1.36,0.34700000000000003,4.46,2.8
2019,Yu Darvish,178.2,11.54,2.82,1.66,0.266,3.98,2.6
2019,Miles Mikolas,184.0,7.04,1.57,1.32,0.302,4.16,2.5
2019,Anibal Sanchez,166.0,7.27,3.14,1.19,0.265,3.85,2.5
2019,Anthony DeSclafani,166.2,9.02,2.65,1.57,0.273,3.89,2.4
2019,Robbie Ray,174.1,12.13,4.34,1.55,0.305,4.34,2.4
2019,Sandy Alcantara,197.1,6.89,3.69,1.05,0.271,3.88,2.3
2019,Reynaldo Lopez,184.0,8.27,3.18,1.71,0.316,5.38,2.3
2019,Brad Keller,165.1,6.64,3.81,0.82,0.282,4.19,2.2
2019,Adam Wainwright,171.2,8.02,3.36,1.15,0.319,4.19,2.2
2019,Joey Lucchesi,163.2,8.69,3.08,1.26,0.271,4.18,2.1
2019,Merrill Kelly,183.1,7.76,2.8,1.42,0.292,4.42,2.0
2019,Ivan Nova,187.0,5.49,2.26,1.44,0.322,4.72,2.0
2019,Brett Anderson,176.0,4.6,2.51,1.02,0.278,3.89,2.0
2019,Wade Miley,167.1,7.53,3.28,1.24,0.287,3.98,2.0
2019,Tanner Roark,165.1,8.6,2.78,1.52,0.322,4.35,1.9
2019,Martin Perez,165.1,7.35,3.65,1.25,0.316,5.12,1.9
2019,Rick Porcello,174.1,7.38,2.32,1.6,0.308,5.52,1.8
2019,Mike Fiers,184.2,6.14,2.58,1.46,0.254,3.9,1.7
2019,Julio Teheran,174.2,8.35,4.28,1.13,0.266,3.81,1.6
2019,Jakob Junis,175.1,8.42,2.98,1.59,0.318,5.24,1.5
2019,Zach Eflin,163.1,7.11,2.64,1.54,0.29100000000000004,4.13,1.5
2019,Jeff Samardzija,181.1,6.95,2.43,1.39,0.24,3.52,1.5
2019,Dakota Hudson,174.2,7.01,4.43,1.13,0.27399999999999997,3.35,1.0
2019,Mike Leake,197.0,5.8,1.23,1.87,0.295,4.29,1.0
